model,protocol_id,placement_path,size_bytes,sha256,role,availability
APD-SIM-3,DMD_3F_1O3P,checkpoints/apd_dmd_geometry_r2/dmd3_restart_simple_r1/best.pt,227194333,c749e25f625c88dc5f1fbb84ebb1854f760cad21f087c58ed4bf7e734e3919b5,FINAL_INFERENCE,AVAILABLE_IN_PRIVATE_WORKSPACE_NOT_COPIED
APD-SIM-6,DMD_6F_2O3P,checkpoints/apd_dmd_geometry_r2/dmd6/best.pt,227193757,10fb16662a8b71b877f2cab81bdc151dcded92f6efd1c4b006306b901a8adff7,FINAL_INFERENCE,AVAILABLE_IN_PRIVATE_WORKSPACE_NOT_COPIED
APD-SIM-9,DMD_9F_3O3P,checkpoints/apd_dmd_geometry_r4/dmd9/best.pt,227193885,62831cc9798c9d005fdbf56b343928cc592646b6e70a16f58399b6da0d01b63e,R4_FINAL_INFERENCE_ITERATION_88000,AVAILABLE_IN_PRIVATE_WORKSPACE_NOT_COPIED
DMD-3F initializer,DMD_9F_3O3P,checkpoints/apd_dmd_geometry_r2/dmd9/best.pt,,,HISTORICAL_TRAINING_INITIALIZER,MISSING_IDENTITY_UNRESOLVED_EXACT_RETRAIN_BLOCKED
